"KeyCite Flag","Title","Document URL","Formerly Cited As","Primary Cite","Parallel Cites","Court or Jurisdiction","Docket Number(s)","Date","Type","NOD Topics","Document Summary","Terms",
"","Wilhite v. United States","https://www.westlaw.com/Document/Ice8ef5f0ebf211ea9214aaaa8d5963d9/View/FullText.html?navigationPath=%2FRelatedInfo%2Fv1%2FkcCitingReferences%2Fnav%3FdocGuid%3DN3AE207D0B35411DE935C8B33164993F3%26midlineIndex%3D1%26warningFlag%3DN%26planIcons%3DNO%26skipOutOfPlan%3Dnull%26sort%3Ddatedesc%26filterGuid%3Dhba7a17b0e150af0a2e3ad1d3408238f7%26category%3DkcCitingReferences&listSource=RelatedInfo&list=CitingReferences&rank=1&docFamilyGuid=Icf27b380ebf211ea89fda8c61362db98&overruleRisk=true&originationContext=citingreferences&transitionType=CitingReferencesItem&contextData=%28sc.Category%29&VR=3.0&RS=cblt1.0","","2020 WL 5105434, *1","","D.Mont.","","Aug. 31, 2020##","Case","","The United States Magistrate Judge filed Findings and Recommendations on Defendant United States’ Motion to Dismiss on August 3, 2020. (Doc. 19.) The Magistrate recommended that...","",
"","Wilhite v. United States","https://www.westlaw.com/Document/I80af8ff012d711eba034d891cc25f3cc/View/FullText.html?navigationPath=%2FRelatedInfo%2Fv1%2FkcCitingReferences%2Fnav%3FdocGuid%3DN3AE207D0B35411DE935C8B33164993F3%26midlineIndex%3D2%26warningFlag%3DN%26planIcons%3DNO%26skipOutOfPlan%3Dnull%26sort%3Ddatedesc%26filterGuid%3Dhba7a17b0e150af0a2e3ad1d3408238f7%26category%3DkcCitingReferences&listSource=RelatedInfo&list=CitingReferences&rank=2&docFamilyGuid=I82c6b02012d711eb9e47ace97628ee6c&overruleRisk=true&originationContext=citingreferences&transitionType=CitingReferencesItem&contextData=%28sc.Category%29&VR=3.0&RS=cblt1.0","","2020 WL 6136382, *5","","D.Mont.","","Aug. 03, 2020##","Case","","Plaintiff Tammy Wilhite (“Wilhite”) brings this action against the United States alleging claims for wrongful termination and intentional infliction of emotional distress following...","",
"","Ruffner v. Ken Blanchard Companies, Inc.","https://www.westlaw.com/Document/I099bb160d54c11e9a803cc27e5772c47/View/FullText.html?navigationPath=%2FRelatedInfo%2Fv1%2FkcCitingReferences%2Fnav%3FdocGuid%3DN3AE207D0B35411DE935C8B33164993F3%26midlineIndex%3D3%26warningFlag%3DN%26planIcons%3DNO%26skipOutOfPlan%3Dnull%26sort%3Ddatedesc%26filterGuid%3Dhba7a17b0e150af0a2e3ad1d3408238f7%26category%3DkcCitingReferences&listSource=RelatedInfo&list=CitingReferences&rank=3&docFamilyGuid=I0a946940d54c11e999beed73eab466c5&overruleRisk=true&originationContext=citingreferences&transitionType=CitingReferencesItem&contextData=%28sc.Category%29&VR=3.0&RS=cblt1.0","","2017 WL 11424032, *1","","D.Mont.","","Nov. 16, 2017##","Case","","Defendant Ken Blanchard Companies, Inc. seeks leave to designate a damages expert after the deadline set in the October 25, 2016 Scheduling Order, (Doc. 20). (Doc. 32.) Plaintiff...","",
"","King v. Recreational Equipment, Inc.","https://www.westlaw.com/Document/I3c4cf2a01e8c11e78e18865f4d27462d/View/FullText.html?navigationPath=%2FRelatedInfo%2Fv1%2FkcCitingReferences%2Fnav%3FdocGuid%3DN3AE207D0B35411DE935C8B33164993F3%26midlineIndex%3D4%26warningFlag%3DN%26planIcons%3DNO%26skipOutOfPlan%3Dnull%26sort%3Ddatedesc%26filterGuid%3Dhba7a17b0e150af0a2e3ad1d3408238f7%26category%3DkcCitingReferences&listSource=RelatedInfo&list=CitingReferences&rank=4&docFamilyGuid=I3d4e84201e8c11e7887fd9515e338156&overruleRisk=true&originationContext=citingreferences&transitionType=CitingReferencesItem&contextData=%28sc.Category%29&VR=3.0&RS=cblt1.0","","2016 WL 8711411, *5","","D.Mont.","","Dec. 07, 2016##","Case","","Pursuant to Fed. R. Civ. P. 16 and L.R. 16.4, the parties submit this Final Pretrial Order to govern the course of trial in this matter. This is a wrongful discharge from...","",
"","Jacques v. Haas Group International, Inc.","https://www.westlaw.com/Document/I5e7ca5d0c4da11e5be74e186f6bc2536/View/FullText.html?navigationPath=%2FRelatedInfo%2Fv1%2FkcCitingReferences%2Fnav%3FdocGuid%3DN3AE207D0B35411DE935C8B33164993F3%26midlineIndex%3D5%26warningFlag%3DN%26planIcons%3DNO%26skipOutOfPlan%3Dnull%26sort%3Ddatedesc%26filterGuid%3Dhba7a17b0e150af0a2e3ad1d3408238f7%26category%3DkcCitingReferences&listSource=RelatedInfo&list=CitingReferences&rank=5&docFamilyGuid=I5f70a2c0c4da11e598eade2a6e94ea32&overruleRisk=true&originationContext=citingreferences&transitionType=CitingReferencesItem&contextData=%28sc.Category%29&VR=3.0&RS=cblt1.0","","2016 WL 308784, *8","","D.Mont.","","Jan. 25, 2016##","Case","","Plaintiff Thomas P. Jacques (“Jacques”) filed this action against his former employer, Defendant Haas Group International, Inc. (“Haas”), for wrongful discharge, back commission...","",
"","Curlin v. Seaboard Foods, LLC","https://www.westlaw.com/Document/I4f773762bdc411e4b4bafa136b480ad2/View/FullText.html?navigationPath=%2FRelatedInfo%2Fv1%2FkcCitingReferences%2Fnav%3FdocGuid%3DN3AE207D0B35411DE935C8B33164993F3%26midlineIndex%3D6%26warningFlag%3DN%26planIcons%3DNO%26skipOutOfPlan%3Dnull%26sort%3Ddatedesc%26filterGuid%3Dhba7a17b0e150af0a2e3ad1d3408238f7%26category%3DkcCitingReferences&listSource=RelatedInfo&list=CitingReferences&rank=6&docFamilyGuid=I4f773763bdc411e4b4bafa136b480ad2&overruleRisk=true&originationContext=citingreferences&transitionType=CitingReferencesItem&contextData=%28sc.Category%29&VR=3.0&RS=cblt1.0","","2015 WL 791290, *1","","D.Mont.","","Feb. 25, 2015##","Case","","Defendant Seaboard Foods, LLC (“Seaboard”) moves the Court for an order in limine with respect to seven categories of evidence. For the reasons explained, the Court grants three of...","",
"","Asper v. Costco Wholesale Corp.","https://www.westlaw.com/Document/Ia27b18b9a7e611e4b86bd602cb8781fa/View/FullText.html?navigationPath=%2FRelatedInfo%2Fv1%2FkcCitingReferences%2Fnav%3FdocGuid%3DN3AE207D0B35411DE935C8B33164993F3%26midlineIndex%3D7%26warningFlag%3DN%26planIcons%3DNO%26skipOutOfPlan%3Dnull%26sort%3Ddatedesc%26filterGuid%3Dhba7a17b0e150af0a2e3ad1d3408238f7%26category%3DkcCitingReferences&listSource=RelatedInfo&list=CitingReferences&rank=7&docFamilyGuid=Ia27b18baa7e611e4b86bd602cb8781fa&overruleRisk=true&originationContext=citingreferences&transitionType=CitingReferencesItem&contextData=%28sc.Category%29&VR=3.0&RS=cblt1.0","","598 Fed.Appx. 494, 495+","","9th Cir.(Mont.)","","Jan. 29, 2015##","Case","1. Claims barred","LABOR AND EMPLOYMENT - Wrongful Discharge. Employer's refusal to rehire employee was not a second discharge that would give rise to liability under Montana's Wrongful Discharge...","",
"","Henrichs v. Safeway, Inc.","https://www.westlaw.com/Document/Ia1ee87e6741011e4b86bd602cb8781fa/View/FullText.html?navigationPath=%2FRelatedInfo%2Fv1%2FkcCitingReferences%2Fnav%3FdocGuid%3DN3AE207D0B35411DE935C8B33164993F3%26midlineIndex%3D8%26warningFlag%3DN%26planIcons%3DNO%26skipOutOfPlan%3Dnull%26sort%3Ddatedesc%26filterGuid%3Dhba7a17b0e150af0a2e3ad1d3408238f7%26category%3DkcCitingReferences&listSource=RelatedInfo&list=CitingReferences&rank=8&docFamilyGuid=Ia1ee87e7741011e4b86bd602cb8781fa&overruleRisk=true&originationContext=citingreferences&transitionType=CitingReferencesItem&contextData=%28sc.Category%29&VR=3.0&RS=cblt1.0","","2014 WL 6610046, *5+","","D.Mont.","","Nov. 20, 2014##","Case","","This wrongful discharge case comes before the Court on Defendant Safeway Inc.'s (“Safeway”) motion for summary judgment on Plaintiff Brent Henrichs' (“Henrichs”) claims under the...","",
"","McDonald v. Townsquare Media, LLC","https://www.westlaw.com/Document/Ie7f827b0b37e11e6bdb7b23a3c66d5b3/View/FullText.html?navigationPath=%2FRelatedInfo%2Fv1%2FkcCitingReferences%2Fnav%3FdocGuid%3DN3AE207D0B35411DE935C8B33164993F3%26midlineIndex%3D9%26warningFlag%3DN%26planIcons%3DNO%26skipOutOfPlan%3Dnull%26sort%3Ddatedesc%26filterGuid%3Dhba7a17b0e150af0a2e3ad1d3408238f7%26category%3DkcCitingReferences&listSource=RelatedInfo&list=CitingReferences&rank=9&docFamilyGuid=Ie8be84f0b37e11e6aa049569ac37328a&overruleRisk=true&originationContext=citingreferences&transitionType=CitingReferencesItem&contextData=%28sc.Category%29&VR=3.0&RS=cblt1.0","","2014 WL 12600456, *1+","","D.Mont.","","Mar. 11, 2014##","Case","","Before the Court are the parties’ motions in limine. For the reasons explained, the motions will be granted in part and denied in part. Because the parties are familiar with the...","",
"","Asper v. Costco Wholesale Corporation","https://www.westlaw.com/Document/I3bcec3701f5b11e6accba36daa2dab8f/View/FullText.html?navigationPath=%2FRelatedInfo%2Fv1%2FkcCitingReferences%2Fnav%3FdocGuid%3DN3AE207D0B35411DE935C8B33164993F3%26midlineIndex%3D10%26warningFlag%3DN%26planIcons%3DNO%26skipOutOfPlan%3Dnull%26sort%3Ddatedesc%26filterGuid%3Dhba7a17b0e150af0a2e3ad1d3408238f7%26category%3DkcCitingReferences&listSource=RelatedInfo&list=CitingReferences&rank=10&docFamilyGuid=I3c4839301f5b11e69514eea0575b983b&overruleRisk=true&originationContext=citingreferences&transitionType=CitingReferencesItem&contextData=%28sc.Category%29&VR=3.0&RS=cblt1.0","","2013 WL 11319107, *3+","","D.Mont.","","July 08, 2013##","Case","","Defendant Costco Wholesale Corporation (“Costco”) has filed a motion to dismiss Plaintiff Kimberly Asper's (“Asper”) action for failure to state a claim. This motion is the result...","",
